name,code,authorName,genre
Passionada,PETS,Lisette Moretto,Comedy|Romance
Kiss or Kill,IBKR,Elsbeth Drakard,Crime|Drama|Thriller
"Blood Spattered Bride, The (La novia ensangrentada)",FNWB,Gregor Callingham,Horror
Hallelujah I'm a Bum,SD,Monroe Grisbrook,Musical
Superman/Batman: Apocalypse,EVSTC,Cherish Pryor,Animation
Reclaim,LIFE,Cecilia Main,Drama|Thriller
A mí las mujeres ni fu ni fa,TKF,Bernie Mallison,Comedy|Musical
Topper Returns,PYS,Nicola Jelliman,Comedy|Fantasy|Mystery|Romance
No Blade of Grass,RY^S,Mandel Roiz,Drama|Sci-Fi
"Doll, The (Lalka)",USB^M,Sayre Haggerston,Drama|Romance
"Bad Girls (Biches, Les)",BKT,Jesse L'argent,Drama|Mystery
La Putain du roi,PTGX,Jeromy Milliken,Drama|Romance
Lassie,NHLDW,Guinevere Gathwaite,Adventure|Children
Valley of the Dragons,ECL,Dilly Woolvin,Sci-Fi
Order and Disorder,DVD,Mimi Yelden,Documentary
Supermen of Malegaon,CFX,Twila Hancell,Documentary
Airport '77,KNSL,Reggi Carrier,Drama
Strongman,GARS,Gypsy Rabbatts,Documentary
Tribes,CBS.A,Allan Barnwill,Drama
Pirates,NBRV,Maressa Philipsen,Adventure|Comedy
Chilly Scenes of Winter (Head Over Heels),HPE,Melessa Hovard,Comedy|Drama|Romance
Pocahontas,SFS,Emelyne Jahns,Animation|Children|Drama|Musical|Romance
Lucifer Rising,VALE.P,Dyann Berthouloume,Fantasy
"Stone Angel, The",MDGL,Rasla Gooderidge,Drama
Russell Peters: The Green Card Tour - Live from the O2 Arena,PSA^Y,Claiborne Dilawey,Comedy|Documentary
Body Snatchers,WAIR,Moore Franceschelli,Horror|Sci-Fi|Thriller
Godzilla vs. Megalon (Gojira tai Megaro),ARI,Tobye Huzzey,Action|Sci-Fi
3 on a Couch (Three on a Couch),TSNU,Merci Pover,Comedy|Romance
Virus X,ERJ,Shoshana Albert,Horror|Sci-Fi
"Subject Was Roses, The",WFC^V,Bride Heugel,Drama
Garbo the Spy (Garbo: El espía),CLNS^C,Bonnie Govini,Documentary|War
Inspector Gadget,FDC,Orton Rennebach,Action|Adventure|Children|Comedy
A Coming-Out Party,CIM^A,Annaliese McQuirk,Comedy|Drama
Guns of the Magnificent Seven,CHN,Earvin Maun,Action|Adventure|Drama|Western
Explorers,DIAX,Gail Kieran,Adventure|Children|Sci-Fi
Manon of the Spring,SAP,Neda Kyllford,Drama
Speaking Parts,JNCE,Orlando Sleightholm,Drama
American Pie Presents Beta House (American Pie 6: Beta House),SPR,Mark Adamsky,Comedy
711 Ocean Drive,IPAS,Randie Smewings,Crime|Drama|Film-Noir|Thriller
Lincz,MAR,Kathleen Balogun,Drama|Thriller
Fun with Dick and Jane,CTIC,Ashlin Farnon,Comedy
"Physician, The",VEDL,Bonita Blasik,Adventure|Drama
Gates of Heaven,TDI,Lilias Wellesley,Documentary
"Tall Target, The",BHI,Adel Parlour,Adventure|Crime|Drama|Thriller
Indian Summer (a.k.a. The Professor) (La prima notte di quiete),VOXX,Irena Heaffey,Drama
Betsy's Wedding,OCN,Elspeth Findlay,Comedy
"Drive, He Said",ANAB,Edee Nobles,Comedy|Drama
Sundays and Cybele (Les dimanches de Ville d'Avray),NKX,Wilona Turvie,Drama
Double Jeopardy,MPB,Nani Stachini,Action|Crime|Drama|Thriller
Pirates of the Caribbean: At World's End,EYEGW,Casar Rickaby,Action|Adventure|Comedy|Fantasy
"Few Good Men, A",NFBK,Letty Hand,Crime|Drama|Thriller
Candleshoe,OPGNW,Winnie Fowler,Adventure|Children|Comedy
Bal (Honey),MHO,Webb Liversedge,Drama
Cain and Mabel,RFEU,Toddie Lawie,Comedy|Musical|Romance
300 Miles to Heaven (300 Mil do Nieba),LVLT,Burke McTeague,Drama
"Goebbels Experiment, The (Das Goebbels Experiment)",KRNY,Truman Brownsell,Documentary
"Hunted, The",STC,Bailey Songust,Action
"Bo Burnham: Words, Words, Words",SLGN,Debora Kerfut,Comedy
No More School,EXPR,Shane Kibard,Comedy
Chained,ORI,Katleen Lowbridge,Horror|Thriller
Ballerina (La mort du cygne),SBBC,Pauly Pecht,Children|Drama|Romance
Lisbela e o Prisioneiro (Lisbela and the Prisoner),INSI,Brandon Salatino,Comedy|Romance
Goodbye to All That,MLM,Ezra Gulleford,Comedy|Drama
To Faro (Mein Freund aus Faro),CJ,Reinaldo Spurden,Drama
Not of This Earth,FTXL,Mariquilla Chastelain,Sci-Fi
"Prisoner of Shark Island, The",ALCO,Standford Houseman,Drama
"American Astronaut, The",AKTS,Eleanora Beachamp,Comedy|Musical|Sci-Fi
Empire of the Wolves (L'empire des loups),DD^B,Darryl Kezar,Action|Drama|Thriller
Played,CARO,Edwin Yewman,Crime|Thriller
"Forever, Darling",LTEA,Melamie Obeney,Comedy|Fantasy
Blood on the Moon,ARTX,Yettie Duce,Action|Drama|Western
Skeleton Crew,DTJ,Dunc Arends,Horror
Patton Oswalt: Finest Hour,BHLB,Elwood Vernau,Comedy
After You (Après vous...),PNF,Ikey Wakelin,Comedy|Romance
"Violin, El",SNA,Magdalena Pucknell,Drama
That Day (Ce jour-là),GDI,Roz Grafton-Herbert,Comedy|Crime|Drama|Mystery
Cartoon All-Stars to the Rescue,NTNX,Adiana Bragginton,Animation|Children|Comedy|Drama|Fantasy
Geronimo: An American Legend,FJP,Darell Sutherland,Drama|Western
Bonjour Monsieur Shlomi (Ha-Kochavim Shel Shlomi),HRMN,Padriac Heselwood,Comedy|Drama
Problem Child 2,RSG,Sile Pomphrey,Comedy
"Last Lions, The",ARCH,Moselle Poller,Documentary
"Pruitt-Igoe Myth, The",DEPO,Faun Pizzie,Documentary|Drama
On the Road,DG,Koral Salmoni,Adventure|Drama
"Wind That Shakes the Barley, The",SBLKL,Nappie People,Drama|War
Woochi: The Demon Slayer,LNT,Tamera Pococke,Action|Comedy|Fantasy
Towelhead (a.k.a. Nothing is Private),MNRO,Derick Wilflinger,Drama
"Battle of amfAR, The",DFVS,Sterne Peeke-Vout,Documentary
City of God (Cidade de Deus),GNK,Johannah Skill,Action|Adventure|Crime|Drama|Thriller
Flodder,DTEA,Nicolle Gercke,Comedy
"Mesmerist, The",PSCH,Candie Haestier,Comedy|Fantasy|Horror
Amber Lake ,GHDX,Ignace Cartmell,Drama|Thriller
Ninotchka,JAKK,Gaylene Mothersole,Comedy|Romance
Islands in the Stream,MYSZ,Minnnie Liebmann,Drama
"Simple Life, A (Tao jie)",BXMT,Anestassia Roscher,Drama
"Rage: Carrie 2, The",JLS,Bonni Mackiewicz,Horror
Dead in Tombstone,DZSI,Jacinda Crollman,Action|Fantasy|Horror
"Maze, The",BABY,Land Edeler,Horror|Sci-Fi
"Deaths of Ian Stone, The",PRSS,Fransisco Le Moucheux,Horror|Thriller
War of the Worlds 2: The Next Wave,INTC,Nelle Dudderidge,Action
Grayeagle,MTFB,Danie Espadate,Adventure|Drama|Romance|Western
"Last Tycoon, The",MPX,Olympe McConnulty,Drama|Romance
"Vikings, The",IMED,Agneta Jessep,Action|Adventure
Airspeed,HIG.WS,Cyndy Davidsson,Action|Adventure|Drama|Thriller
Shamus,BBRY,Dominique Nuccitelli,Crime|Mystery
Rich Hill,LSXMA,Jessalyn Hobben,Documentary
Outlaw Blues,CBMG,Jasper Misk,Drama
Primary,AXARW,Salvatore Deacock,Documentary
"Mist, The",PPP,Linn Gatland,Horror|Sci-Fi
Billabong Odyssey,TNP^C,Chris Vido,Documentary
"Keeper of Lost Causes, The (Kvinden i buret)",CCU,Jillana MacNeill,Crime|Mystery|Thriller
Where East Is East,MTSL,Brandea Cammis,Drama
"Telephone, The",FMBI,Kerby Elizabeth,Comedy
Disco Godfather,BKHU,Ximenes Ambage,Action|Crime|Drama
If You Don't Stop It... You'll Go Blind!!!,RTEC,Norma Rougier,Comedy
"Métamorphose des cloportes, La",CYS^A,Adel Playdon,Comedy|Crime
Dangerous Minds,WAAS,Donnell Nibloe,Drama
Pokemon: The Movie 2000,ROP,Galvin Durdy,Adventure|Animation|Children|Fantasy
Hemingway & Gellhorn,SSBI,Suzette Cassidy,Drama|Romance|War
Mélo,IXYS,Fernandina Mannix,Drama|Romance
Six Days,WUBA,Lou Vail,Documentary
"War Zone, The",BNED,Redd Fontanet,Drama|Thriller
Leatherface: Texas Chainsaw Massacre III,EOI,Marmaduke Wherry,Comedy|Horror|Thriller
In Which We Serve,HYXE,Halimeda Jeannin,Drama|War
Berberian Sound Studio,TLYS,Alison Coultar,Drama|Horror|Thriller
Howard the Duck,THC,Wallis Rafe,Adventure|Comedy|Sci-Fi
"Education of Charlie Banks, The",ENJ,Humfrid Benoist,Drama
"Quiet Earth, The",MMLP,Larissa Fleeman,Drama|Mystery|Sci-Fi
Frankenstein,SNE,Milo Coulbeck,Drama|Horror|Sci-Fi
"Stupids, The",CHUBK,Janek Isted,Comedy
"Peace, Propaganda & the Promised Land",ARRY,Shannan MacAdie,Documentary
Best Seller,ELGX,Rudd Utton,Thriller
"Distinguished Gentleman, The",ZION,Padgett Davy,Comedy
Brokeback Mountain,TWX,Britney De Cleen,Drama|Romance
Confessions of a Teenage Drama Queen,WMT,Drusy Kleuer,Comedy
"Dangerous Profession, A",CNSL,Jerrilee Matton,Crime|Drama|Film-Noir
"Beginner's Guide to Endings, A",UZA,Benny Hussy,Comedy|Drama
From Noon Till Three,DST,Robin Grishakov,Comedy|Romance|Western
Dark City,MDR,Stafani Parres,Crime|Drama|Film-Noir|Mystery
Swastika,LBRDK,Martie Ormshaw,Documentary
Air Crew,GWR,Maighdiln Rosenfelt,Action|Drama|Thriller
Erasing David,QINC,Dode Curwood,Documentary
Gladiator,NEWT,Gale Hughman,Action|Adventure|Drama
Evil Roy Slade,SB^B,Bonny Sweeney,Comedy|Western
"Magic Voyage of Sindbad, The (Sadko)",SAR,Cristy Trood,Adventure|Fantasy
Zindagi Na Milegi Dobara,ORIG,Guglielmo Kann,Adventure|Comedy|Drama|Romance
The Dust Bowl,CATO,Ramona Castellet,Documentary
Allegheny Uprising,ASIX,Kata Tooting,Action|Adventure|Western
Yertle the Turtle and Other Stories,BTU,Bernardo Rappport,Animation|Children
Behind the Candelabra,UNT,Cheryl Pentelo,Drama
Imago mortis,DHR,Wilburt Boatman,Horror
Anchorman 2: The Legend Continues,DTYL,Bert Berndt,Comedy
Kind Lady,BMRN,Prince Brookes,Drama|Thriller
Lisztomania,ETG,Scot Chantler,Comedy|Fantasy|Musical
Bis zum Ellenbogen,CLDR,Valencia Guidone,Comedy
Little Murders,CVRR,Gavin Ettritch,Comedy|Crime
Career Opportunities,OFIX,Krissie Fidler,Comedy|Romance
"Man Who Saw Tomorrow, The",NYCB,Samson Dudson,Documentary
Hotel Terminus: The Life and Times of Klaus Barbie (Hôtel Terminus),AMED,Everett Tompkins,Documentary
All I Want (Try Seventeen),SCSS,Hanan Stammler,Comedy|Drama|Romance
Fresh Guacamole,HSBC,Bree Rubinovitch,Animation
Sherlock Holmes and the Secret Weapon,CRUS,Jacinthe Alexsandrev,Crime|Mystery|Thriller
Latin Music USA,IPCC,Alf Pappin,Documentary|Musical
Sex and Zen (Rou pu Tuan zhi tou Qing bao Jian),LBRDA,Kalie Lawranson,Action|Adventure|Comedy|Fantasy
Night Train,ABC,Shelbi Whitsun,Action|Mystery|Thriller
"Cuenca Crime, The (Crimen de Cuenca, El)",HRS,Mirabel Heisham,Drama
"Haunted World of El Superbeasto, The",XLRN,Gretel Salomon,Action|Animation|Comedy|Horror|Thriller
Dark Alibi,LJPC,Ingeberg Peasee,Crime|Drama|Mystery|Thriller
Catfish,ONEQ,Marianna Lowne,Documentary|Mystery
Honeymoon,NVG,Spencer Danaher,Comedy|Romance
Fantastic Four,PID,Cordy Trimmell,Action|Adventure|Sci-Fi
Willard,FLIC,Letisha Ryhorovich,Horror
"Thin Man Goes Home, The",NOC,Trever Jefferys,Comedy|Crime|Mystery
Before Your Eyes (Min Dit: The Children of Diyarbakir),WEC,Sile Humbie,Drama
Last Call at the Oasis,SPIL,Thom Wardrop,Documentary
"Edge, The",LPCN,Shaun Breitler,Adventure|Drama
"Chamber of Death (Chambre des morts, La)",JPM^B,Ynes Clempton,Crime|Mystery|Thriller
Mona Lisa Smile,ASB,Zandra Dyer,Drama|Romance
Tanguy,PDI,Evangeline Littell,Comedy
"Gauntlet, The",COL,Murray Creaney,Action
96 Minutes ,QRHC,Linette O'Corrin,Drama|Thriller
Human Resources (Ressources humaines),FAC,Meier Hulles,Drama
Everybody's Woman (La signora di tutti),GEF,Leontyne Paule,Drama
Inseparable,CY,Dilan Heaselgrave,Comedy|Drama|Mystery|Thriller
Three Came Home,KCG,Fay Regorz,Drama|War
Carmen,FLAG,Phyllida Brewitt,Drama
"Great Waltz, The",GGAL,Derrick McNeillie,Drama|Musical|Romance
"Witnesses, The (Les témoins)",LCA,Grace Marcq,Drama
De nieuwe Wildernis,K,Loy Boow,Documentary
"Contempt (Mépris, Le)",IFMK,Art Palister,Drama
Look,ETN,Alana O'Cosgra,Drama
Aileen Wuornos: The Selling of a Serial Killer,MDSO,Torr Le Noire,Documentary
Dangerous Liaisons,TGEN,Jerald Ledgister,Comedy|Crime|Drama|Mystery
Repast (Meshi),PFD,Lise Huckell,Drama
Face,VR,Kirsti Girling,Comedy
"Bay, The",TCP,Marijn Cearley,Horror|Sci-Fi|Thriller
Pleasantville,RGLS,Ephraim MacCahee,Comedy|Drama|Fantasy
Infamous,XL,Stafani Fortey,Drama
Lathe of Heaven,DQ,Sherwynd Knibley,Sci-Fi
Night Nurse,DRRX,Maud Humbles,Crime|Drama|Mystery|Thriller
Gun the Man Down,WIT,Augustine Facey,Western
Dead Man,STAG^B,Aaren Burrage,Drama|Mystery|Western
"Happy Event, A (Un Heureux Evénement)",MUJ,Addison Fergyson,Comedy|Drama|Romance
Twilight of the Ice Nymphs,BIO.B,Fania Kettlestringes,Fantasy
"Hurricane, The",MYF,Teddi Fargher,Drama
That Sugar Film,STOR,Audry Peevor,Documentary
Africa Screams,FSCFL,Rosmunda Salsbury,Adventure|Comedy
"Mooring, The",GNT,Randell Whitters,Horror|Thriller
Man for a Day,NMI,Josias Davidescu,Documentary
My Life,TEL,Albrecht Peotz,Drama
Camille Claudel,MITK,Nevin Kleinert,Drama
What Doesn't Kill You,EEP,Arlena Aizlewood,Crime|Drama
When We Were Kings,PPL,Selia Dabrowski,Documentary
Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2),RFT,Anabella Regenhardt,Action|Comedy|Sci-Fi
"Wiz, The",CFNB,Gabby Lenton,Adventure|Children|Comedy|Fantasy|Musical
"Dead Man and Being Happy, The (El muerto y ser feliz)",ICHR,Doyle Effaunt,Drama
"Soft Skin, The (La peau douce)",SWK,Clerkclaude Dee,Drama
Harmful Insect (Gaichu),JMBA,Wandis Von Helmholtz,Drama
Pillow Talk,HUNTU,Louisa Radley,Comedy|Musical|Romance
Princesas,DNOW,Gabey Gytesham,Drama
Phaedra,GULF,Thaddeus Lambregts,Drama
Dampfnudelblues,PFG,Modestine Matis,Comedy|Crime
Cadillac Records,VBTX,Dimitry Weildish,Drama|Musical
Up!,SCCO,Miguela Tidcomb,Comedy
Getting Back to Abnormal,LPLA,Jewell Udy,Documentary
Himalaya (Himalaya - l'enfance d'un chef),HR,Moshe Hassent,Adventure|Drama
Headshot,TXN,Bentley Blundin,Crime|Drama|Thriller
"Baytown Outlaws, The",TMK,Bidget Yurocjkin,Action|Comedy|Crime
Every Other Week (Varannan vecka),JNJ,Mitch Fishenden,Comedy|Drama|Romance
Sliver,RH,Yale Boyfield,Thriller
Blown Away,ZBRA,Harper Soulsby,Action|Drama|Romance
"Hustlers, The (Veijarit)",MXPT,Mylo Burtwell,Comedy|Drama
Mother of George,FSLR,Dolly Hinzer,Drama
Attack on the Iron Coast,MN,Sela MacPaik,Action|Drama|War
"11'09""01 - September 11",ALQA,Didi Torrance,Drama
"Dude, Where's My Car?",OBSV,Tomas Kondratowicz,Comedy|Sci-Fi
National Gallery,SBBP,Hi Disbrow,Documentary
Beyond the Fear,ARII,Elisabeth Bonafant,Documentary
I Don't Want to Be a Man (Ich möchte kein Mann sein),FFIN,Essa Harm,Comedy|Romance
"Man Escaped, A (Un  condamné à mort s'est échappé ou Le vent souffle où il veut)",WFBI,Inez Tiernan,Adventure|Drama
Despicable Me 2,PBR,Tiphanie Vida,Animation|Children|Comedy|IMAX
"Police, Adjective (Politist, adj.)",JSYNU,Rebekkah Shewen,Comedy|Crime|Drama
What a Girl Wants,AMRI,Chrissie Danielsson,Comedy|Drama|Romance
"Night Train Murders (Last Stop on the Night Train) (Ultimo treno della notte, L')",FHY,Dinah Seddon,Horror|Thriller
"Cougars, Inc.",GPIC,Shoshana Towriss,Comedy|Drama
Hyenas (Hyènes),NOM,Hastings Lindores,Comedy|Drama
Soylent Green,ETSY,Mattias Rubury,Drama|Mystery|Sci-Fi|Thriller
"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The",BBRY,Perry Spearing,Documentary|War
Thanksgiving Family Reunion (National Lampoon's Holiday Reunion),INO,Quincey Dennitts,Comedy
"Omega Code, The",GIMO,Elane Dachey,Action
"Front Line, The (Go-ji-jeon)",GTYHW,Lion Greaser,Drama|War
If I Stay,PRN,Wakefield Fransemai,Drama
Space Is The Place,MH^A,Ayn Shrimpling,Sci-Fi
Poison Ivy II,BLPH,Sanford MacBey,Drama|Thriller
"Hammer, The",TXRH,Celina Leggin,Comedy
CBGB,PMO,Cord Cusworth,Drama
Block-Heads,WFC^Q,Kizzee Spurdens,Comedy|War
Robin Hood: Prince of Thieves,PVH,Carolyn De Ambrosis,Adventure|Drama
Under the Boardwalk: The Monopoly Story,OXLC,Berkley Wolfers,Documentary
Chopper,SDLP,Bayard Pincott,Drama|Thriller
Mr. Deeds Goes to Town,ASH,Sybille Sebborn,Comedy|Romance
Man on a Ledge,WATT,Gustav Blaszczyk,Crime|Thriller
Some Mother's Son,MPCT,Melinde Mangion,Drama
Vivacious Lady,FPL,Lockwood Petersen,Comedy|Romance
Beau Pere (a.k.a. Stepfather) (Beau-père),JHG,Aluin Deeman,Drama
Suez,ESND,Paxon Schuricke,Drama|Romance
Swordfish,CIA,Ursa Springall,Action|Crime|Drama
Return,AOBC,Caprice Rippen,Drama
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,SPHS,Bettina Berlin,Comedy
Your Friend the Rat,HMNF,Clotilda Bortolotti,Animation
12 O'Clock Boys,DLR,Jenna Kubes,Documentary
As Long as You've Got Your Health (Tant qu'on a la santé),HTGM,Mariam Thornham,Comedy
Because of Winn-Dixie,CORR,Allistir Devitt,Children|Comedy|Drama
"Hunt, The (Jagten)",GUT^A,Chane Ellicott,Drama
"Pandora's Box (Büchse der Pandora, Die)",MDVXW,Marcellus Allicock,Drama
Jekyll,NLY^A,Taffy Norwood,Crime|Horror|Thriller
"Run, Simon, Run",LTXB,Fabian Camel,Adventure|Thriller
The Woman in Black 2: Angel of Death,NPO,Eugen Hindshaw,Drama|Horror|Thriller
Disorderlies,SHLO,Jodi Kernan,Comedy
"Night to Remember, A",TRU,Joice Collen,Comedy|Mystery
Unrest,MYN,Jemimah Hempel,Horror|Thriller
"Sisters, The",AZUL,Melinde Pylkynyton,Drama
I Know That Voice,GNTX,Paula Arthurs,Documentary
After the Reconciliation (Après la réconciliation),TWO^A,Chantal Arnoll,Drama
It's a Small World,AIMT,Talbert Penas,Comedy
Meet Joe Black,GSBD,Austine Annon,Romance
Patti Smith: Dream of Life,ARCC,Cory Ormesher,Documentary
In Fear,EBR,Trula Hellwing,Thriller
Sweet Nothing,STAR          ,Coriss Endon,Drama
Oscar,NWFL,Eugene Glenwright,Comedy|Crime|Mystery|Romance
Jessie James Meets Frankenstein's Daughter,SIMO,Anstice Scriver,Sci-Fi|Western
Temptress Moon (Feng Yue),MYI,Cahra Dallicott,Romance
Beethoven's Big Break,YUMC,Rolph Paulmann,Children|Comedy
"Break-Up, The",SYMX,Angel Cufley,Comedy|Drama|Romance
"Thorn Birds, The",ANSS,Artie Oliff,Drama|Romance
They Might Be Giants,FRSH,Greer Farra,Comedy|Mystery|Romance
Solaris (Solyaris),DX^A,Nana McGirr,Drama|Mystery|Sci-Fi
The Merry Widow,HOFT,Morie Kelberman,Comedy|Drama
Ping Pong Summer,NEWS,Adelice Noweak,Comedy
"Life and Times of Allen Ginsberg, The",CLB,Ame Koche,Documentary
Seeking Asian Female,FLXS,Pier Feria,Documentary
"Guyver, The",PEIX,Beckie Dikle,Action|Comedy|Sci-Fi
Duplicate,NSM,Yoshi Dinnis,Comedy|Crime|Musical
Titus,SWK,Ebony MacGilfoyle,Drama
Two Crimes (Dos crímenes),OAS,Mortie Geertz,Comedy|Crime|Drama
Pushing Tin,MTBCP,Lil Callow,Comedy
Wild Reeds (Les roseaux sauvages),CL,Hollis Solman,Drama
"Heat, The",FBHS,Joellen Cotsford,Action|Comedy|Crime
Inherit the Wind,MMLP,Tabbie Getley,Drama
Such Good Friends,EMMS,Katherina Jeanon,Comedy|Drama
Exit Smiling,DRA,Chere Erb,Comedy|Romance
Rick,NEV,Eva De Cruce,Comedy|Drama
Dream House,HBANO,Hobard Willford,Drama|Mystery|Thriller
"Grand, The",MP^D,Enrica Clapston,Comedy
Under the Stars (Bajo las estrellas),OOMA,Iain Dawkins,Drama
To Live and Die in L.A.,TV,Bastian Steinham,Action|Crime|Drama|Thriller
"World Without Thieves, A (Tian xia wu zei)",IOTS,Norton Maxweell,Action|Crime|Drama
"Wonderful Ice Cream Suit, The",EIX,Flossi Hazeldene,Children|Comedy|Fantasy
Tight Spot,NZF,Alissa Mollen,Drama|Film-Noir|Thriller
Dragnet,MOG.B,Yancey Ca,Comedy|Crime|Drama
Until the Light Takes Us,PYZ,Phyllida Cradduck,Documentary
"Living Room of the Nation, The (Kansakunnan olohuone)",TESO,Gaile Markie,Documentary
X Games 3D: The Movie,SYNL,Massimiliano Bottrill,Documentary
"Witch Who Came from the Sea, The",GENC,Willie Tellenbrook,Horror|Thriller
Goal II: Living the Dream,SRET,Nona Gheorghie,Action|Drama
Godzilla vs. Gigan (Chikyû kogeki meirei: Gojira tai Gaigan),PMTS,Che Batram,Action|Adventure|Horror
Cousins in Love (a.k.a. Tender Cousins) (Tendres Cousines),DS^C,Ellswerth Sealove,Drama|Romance
Narrow Margin,LNCE,Roby Swindon,Crime|Thriller
7th Heaven (Seventh Heaven),NAKD,Loella Guppy,Drama|Romance
"High, Wide, and Handsome",PIR,Ramon Nann,Musical|Western
Hexed,IGI,Fredi Lawtey,Comedy
On Our Merry Way,PVG,Nikolai Geffinger,Comedy|Drama
Jerusalem,LANC,Enriqueta Mingard,Drama
Blackboard Jungle,KNSL,Ashil Bleasdille,Drama
Raising Arizona,SIR,Fredia Gopsell,Comedy
Judge Dredd,RLJE,Brynna Gobel,Action|Crime|Sci-Fi
Death Rides a Horse (Da uomo a uomo),CIO^A,Mallory Penwright,Action|Western
Mahogany,BPK,Renae Attree,Drama|Romance
"Soldier's Story, A",BZUN,Bart Jovanovic,Drama
Finisterrae,BNFT,Jeramie Church,(no genres listed)
"Hound of the Baskervilles, The",PCSB,Colet Causton,Crime|Horror|Mystery
Oscar and the Lady in Pink,GTXI,Marven Mowett,Drama
Chop Shop,BW,Andrea Zellick,Drama
Damnation Alley,NRCIB,Isaiah Mogra,Drama|Sci-Fi|Thriller
Autopsy (Macchie Solari),MMAC,Cris Rhubottom,Horror
Mysterious Island,ESNT,Lita Rassmann,Action|Adventure|Fantasy|Sci-Fi
"Old Lady and the Pigeons, The (La vieille dame et les pigeons)",WEBK,Linc Tomkys,Animation|Comedy
"Naked City, The",MRC,Modestia Trillo,Crime|Drama|Film-Noir|Mystery
Scooby-Doo 2: Monsters Unleashed,SINA,Agnesse Ugolotti,Action|Adventure|Children|Comedy|Mystery
"Greatest Movie Ever Sold, The (POM Wonderful Presents: The Greatest Movie Ever Sold)",GULF,Jarrid Trevers,Documentary
American Scary,RLJE,Westleigh Brettell,Comedy|Documentary|Horror
Waxwork,CSGS,Nora Lemm,Comedy|Horror
Dead of Winter,AXTI,Riane Grinval,Horror|Thriller
"Cry of the Owl, The",ITW,Aliza Kilcoyne,Drama|Thriller
Slingshot Hip Hop,PRFZ,Indira Stuckow,(no genres listed)
Benji ,RUBI,Waylen Warland,Documentary
Hangman's Curse,CW,Sammie Kibard,Horror|Mystery|Thriller
"Tale of Two Cities, A",DM,Benedicto Haig,Drama|Romance
Chronicle of an Escape (Crónica de una fuga),UHS,Dinny Matches,Thriller
Gunbuster (Top wo Narae),RIBTW,Mechelle Varian,Action|Animation|Drama|Sci-Fi
Butterfly (La lengua de las mariposas),PF,Alanah Tatnell,Drama
Suspiria,YY,Henka Duerdin,Horror
So Much So Fast,CPB,Ellerey Raffon,Documentary
Buena Vista Social Club,HMSY,Dita Williment,Documentary|Musical
Bloomington,BZH,Lucias Weare,Drama
The Case of the Curious Bride,ASGN,Adriaens Frede,Comedy|Crime|Drama|Mystery
Country Strong,FTXN,Fabian Guite,Drama|Musical|Romance
It's a Very Merry Muppet Christmas Movie,LL,Hillery Lockner,Children|Comedy
