name,code,authorName,genre
Stray Cat Rock: Delinquent Girl Boss (Nora-neko rokku: Onna banchô),53,Devonne Yeld,Comic
Nowhere in Africa (Nirgendwo in Afrika),54,Rosamund Roizin,Comic
Mrs. Winterbourne,55,Bernadina Veltman,Educacion
Apartment Zero,56,Benji Foort,Educacion
"Young Americans, The",57,Larry Hayman,Comedia
Restless Souls (Bag det stille ydre),58,Doralynne Markovic,Comic
"Foreign Affair, A (2 Brothers & a Bride)",59,Ken Rimer,Comic
Hollywood Canteen,60,Harrison Fearns,Comic
"Dead Next Door, The",61,Tomi Ricci,Educacion
At Long Last Love,62,Krysta Douglas,Comic
Hard Luck,63,Melisenda Lowndsbrough,Fabula
Chasing Christmas,64,Teriann Goodrick,Ficcion
Barking Dogs Never Bite (Flandersui gae),65,Lelia Kewley,Fabula
Daddy and Them,66,Stanford Lassell,Educacion
"White Angel, The (L'angelo bianco)",67,Ossie Klassman,Comedia
Hang 'Em High,68,Jasmina Vickers,Educacion
"Man Who Wasn't There, The",69,Trueman Robillard,Ficcion
Who Are the DeBolts? [And Where Did They Get 19 Kids?],70,Bastien Dootson,Comic
"Prophecy II, The",71,Gilburt Harses,Comedia
Dracula 2000,72,Ardis Spillard,Fabula
Snakes on a Plane,73,Norean Smidmore,Comic
"Last Godfather, The",74,Florence Beresford,Ficcion
Trapped,75,Francene Volk,Comic
How to Murder Your Wife,76,Curt Dalgarno,Comic
"Average Little Man, An (Un borghese piccolo piccolo)",77,Tana Guise,Fabula
Buck,78,Arliene Fatscher,Comic
Would You Rather,79,Jeannine Dorot,Comic
99 francs,80,Paddie Rudinger,Educacion
"Selfish Giant, The",81,Cristiano Heppenspall,Comic
"Last American Hero, The",82,Flory McGeechan,Educacion
"Veronika Voss (Sehnsucht der Veronika Voss, Die)",83,Grange Van Castele,Educacion
Horsemen,84,Riordan Livingstone,Comedia
Onegin,85,Brigit Sture,Fabula
Soldier of Orange (a.k.a. Survival Run) (Soldaat van Oranje),86,Marieann Firks,Comic
"Informer, The",87,Claresta Hulburd,Comic
Dr. Who and the Daleks,88,Henrieta Fader,Educacion
Lay the Favorite,89,Orbadiah Hallbord,Comic
For Pete's Sake,90,Kate Bramo,Comic
More,91,Glory Glendining,Educacion
Smoke,92,Pietrek Storres,Educacion
Higher and Higher,93,Florina Dacke,Comic
"Perfect Game, The",94,Chaddie Treadgall,Romantico
Phantasm IV: Oblivion,95,Claude Yate,Comic
Eerie Tales (Unheimliche Geschichten),96,Fredek Crus,Fabula
Curly Top,97,Zollie Ainscough,Comic
"Legend of Hercules, The",98,Zita Crowdson,Fabula
Pay It Forward,99,Nikolos Thulborn,Fabula
"Piano, The",100,Freedman Kohnert,Fabula
Eyes of Laura Mars,101,Gerek Easby,Romantico
Man for a Day,102,Hy de Marco,Romantico
Angel in My Pocket,103,Mireielle O'Feeny,Comic
True Love,104,Silvanus Dagworthy,Comic
"Fall, The",105,Jenda Le Page,Ficcion
I Am Curious (Yellow) (Jag är nyfiken - en film i gult),106,Theresina Sowerbutts,Educacion
Rick,107,Antoinette Nigh,Comic
Heckler,108,Dasi Shapcote,Educacion
Russell Peters: Outsourced,109,Athene Melledy,Comic
Samoure,110,Winifield Hedderly,Comedia
Sudden Death,111,Dwayne Phalip,Comic
Leprechaun 2,112,Ringo Semerad,Educacion
Life with Father,113,Konstantin Mowatt,Comic
What About Dick?,114,Wendi Upward,Comic
Forbidden Planet,115,Bayard MacKerley,Fabula
Fantasma,116,Sibelle De Biasi,Educacion
"Small Change (Argent de poche, L')",117,Antonino Cornau,Educacion
Bird of Prey,118,Aleen Barsby,Comedia
Torture Garden,119,Brinn Grossier,Fabula
"Trouble with the Truth, The",120,Lara Enrdigo,Educacion
Agnosia,121,Elianore Alcido,Comic
Get Educated: Paathshaala,122,Jen Phinnis,Comedia
Lentsu,123,Fanny Judge,Comedia
Non-Stop,124,Ginevra McCowan,Fabula
Gerhard Richter Painting,125,Cindy Nasey,Fabula
"Guy and a Gal, A (En kille och en tjej)",126,Dud Charrett,Comic
"Twelve Tasks of Asterix, The (Les douze travaux d'Astérix)",127,Clevey McMickan,Comic
"Eel, The (Unagi)",128,Nicol De Blase,Comic
Benji the Hunted,129,Oriana Renzullo,Educacion
"Very Natural Thing, A",130,Cosmo Lafay,Comic
Cinderella,131,Gusty Jephcott,Fabula
My Father and My Son (Babam ve oglum),132,Oralee Meron,Comic
"Collector, The",133,Morie Figgures,Comedia
Ginger & Rosa,134,Eolande Setford,Educacion
This Thing With Sarah,135,Fredi Hassen,Fabula
Gods and Generals,136,Kristal Coward,Comedia
Annie Hall,137,Lucinda Down,Comic
India Song,138,Ros Clemon,Comedia
Winter Sleepers (Winterschläfer),139,Wilfred Jurisch,Comic
Gigot,140,Giorgia Pautard,Romantico
Snow White: A Tale of Terror,141,Rebekah Jaouen,Cuento
Scary Movie,142,Elaina Quick,Fabula
Isi & Disi: Amor a lo bestia,143,Si Scartifield,Fabula
Dream House,144,Eydie Jenkins,Educacion
Wavelength,145,Adrianna Gabbitis,Comedia
"Backyard, The",146,Chad Grute,Comic
E.T. the Extra-Terrestrial,147,Buck Timewell,Educacion
"Green Hornet, The",148,Huntington Merriton,Comic
Courage Under Fire,149,Erminia Revill,Educacion
Kiss Me Goodbye,150,Georgi Calbaithe,Educacion
So Young (Zhi wo men zhong jiang shi qu de qing chun),151,Livy Pasmore,Comedia
Jesse Stone: Innocents Lost,152,Brittani Gilling,Comic
This Time Around,153,Amos Beadles,Educacion
The Pumaman,154,Obidiah Bushby,Comedia
Won Ton Ton: The Dog Who Saved Hollywood,155,Osbourne Cadwallader,Educacion
Meshes of the Afternoon,156,Domenic Babon,Fabula
Schlussmacher,157,Annabel Campsall,Comic
Dead Man on Campus,158,Federico Elt,Romantico
Kinbaku,159,Sarge Olennikov,Comic
Days of Heaven,160,Cinda MacNucator,Comic
"Escapist, The",161,Rusty Eich,Educacion
Enigma,162,Gates Calkin,Comic
"Dead, The",163,Blinni Cerro,Educacion
"Children, The",164,Lowe Perri,Fabula
Stake Land,165,Roseline Traviss,Educacion
Montenegro,166,Maggi McConville,Comic
"Dancer Upstairs, The",167,Horace Scyone,Comic
Steve Jobs: The Lost Interview,168,Jenna Giacoboni,Comic
Kidnapped For Christ,169,Ellary Hugh,Fabula
Dead Awake,170,Brandie Hutable,Comic
Legal Deceit,171,Vicki Natte,Comic
Out of Reach,172,Foster Canon,Romantico
Chelsea on the Rocks,173,Paolina Moston,Educacion
"Intruder, The",174,Hussein Caulkett,Comedia
End Game,175,Mandy Chishull,Comic
Mutiny on the Bounty,176,Louella Jollie,Comic
Driving Lessons,177,Esta Blackleech,Comic
"Weight of Water, The",178,Harrietta Jardein,Comic
In the Blood,179,Alessandro Butts,Romantico
Drunken Angel (Yoidore tenshi),180,Mycah Darragh,Educacion
I'm Not Scared (Io non ho paura),181,Elita Pylkynyton,Educacion
Craig Ferguson: Does This Need to Be Said?,182,Isiahi Ablewhite,Comic
"Hungarian Fairy Tale, A (Hol volt, hol nem volt)",183,Pepito Goodliffe,Comic
"Sierra, La",184,Orelee Starkings,Educacion
Lake Tahoe,185,Tommy Cockett,Comic
"Bûche, La",186,Isis Jacobowicz,Educacion
Saving Silverman (Evil Woman),187,Lynnelle Spurling,Comic
Body Double,188,Danit Denisyev,Fabula
"Reluctant Fundamentalist, The",189,Alister Grellis,Educacion
Gambit,190,Roxy Bein,Comedia
Upperworld,191,Bonni Creegan,Comedia
My Forbidden Past,192,Levon Miles,Ficcion
"Professional, The (Le professionnel)",193,Hilary Matthieson,Comic
Eternity and a Day (Mia aoniotita kai mia mera),194,Griz Gilhooley,Educacion
"Mostly Unfabulous Social Life of Ethan Green, The",195,Elka Mackilpatrick,Comic
Flower Drum Song,196,Karole Lapwood,Fabula
We Are Marshall,197,Mathilda Bewsey,Comic
It Came from Beneath the Sea,198,Roth Rizzone,Educacion
Cosmic Journey,199,Cinda Corbridge,Comic
Maybe Baby,200,Odille Triggs,Comic
Body Parts,201,Nilson Donnellan,Educacion
The Boogens,202,Bartholomew Gilbey,Fabula
"Batman: The Dark Knight Returns, Part 2",203,Chandra Matula,Comic
Physical Evidence,204,Sheeree Hornung,Educacion
Solaris,205,Jeffrey Sphinxe,Comic
Wallace and Gromit in 'A Matter of Loaf and Death',206,Aleta Bielfelt,Fabula
Oyster Farmer,207,Tiffy Headrick,Comic
"New One-Armed Swordsman, The (Xin du bi dao)",208,Terra Krugmann,Comic
"I, Monster",209,Deanne Blackburne,Fabula
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)",210,Pat Arrighetti,Comic
"Strada, La",211,Dani Haigh,Educacion
Diên Biên Phú,212,Maryjo Tunnick,Comic
Desert Winds,213,Kermie Lenchenko,Comic
"Evening Star, The",214,Afton Stilliard,Comic
Talk of Angels,215,Jolene Stetlye,Educacion
T.N.T.,216,Friedrick Tregona,Fabula
"Dying Gaul, The",217,Jedd Oldroyd,Comic
Wagons East,218,Carmella Simoneau,Comic
Abols Upe,219,Marlow Knevet,Educacion
Jonathan Livingston Seagull,220,Shayla Cawsy,Educacion
Married Life,221,Piper Huge,Educacion
Botched,222,Justis Virgin,Ficcion
Waiting Women (Kvinnors väntan),223,Mal Spreag,Educacion
From Noon Till Three,224,Filbert Meegan,Comic
Delivery Man,225,Annice Harbar,Comic
Captain Midnight,226,Kath Stalley,Romantico
Stopped on Track,227,Cecil De La Hay,Comedia
"Life of Aleksis Kivi, The (Aleksis Kiven elämä)",228,Heywood Shankle,Comic
Our Daily Bread (Unser täglich Brot),229,Clarance Yacobsohn,Educacion
Lackawanna Blues,230,Elwira Noweak,Comic
"Lawnmower Man, The",231,Giraldo Crombie,Comic
No Turning Back,232,Viv Flooks,Educacion
The Adventures of André and Wally B.,233,Noll Tainton,Comic
Voyage of the Damned,234,Ephraim Adamek,Educacion
Land of the Blind,235,Raymond Baynes,Educacion
Sound of My Voice,236,Arv Hamerton,Comedia
Tuya's Marriage (Tuya de hun shi),237,Alain Makin,Ficcion
"Scorpion King, The",238,Alison Creagh,Educacion
Sex and the Single Girl,239,Peg Kinnach,Educacion
"Benchwarmers, The",240,Michele Vido,Comic
Shipwrecked (a.k.a. Haakon Haakonsen),241,Jo-anne Wingfield,Comic
"Perfect World, A",242,Eward Duckers,Educacion
Firecracker,243,Hephzibah Cicculini,Fabula
"Last Klezmer: Leopold Kozlowski, His Life and Music, The",244,Jacenta Allpress,Fabula
Montana Sky,245,Nils Dils,Comic
Village of the Giants,246,Car Cluely,Educacion
Beneath,247,Sheilah Rider,Comic
My Life as a Dog (Mitt liv som hund),248,Ingrim Gasperi,Comic
"Learning Curve, The",249,Nap Northern,Educacion
"Charlie Brown Christmas, A",250,Neils Sydry,Comic
"Gumball Rally, The",251,Tonye Cupper,Comic
Late Bloomers,252,Bartolemo Domino,Comic
Cran d'arrêt,253,Alexis Bortoluzzi,Educacion
When a Man Loves a Woman,254,Deeanne Vearncombe,Comic
"Life of Aleksis Kivi, The (Aleksis Kiven elämä)",255,Marissa Pinckney,Educacion
Viva Zapata!,256,Morly Ayerst,Educacion
"First Deadly Sin, The",257,Imelda Griffiths,Comic
Doctor Zhivago,258,Connie Harsent,Ficcion
Something Is Happening (Kuch Kuch Hota Hai),259,Lu Mirams,Comic
Wreckers,260,Raoul Newson,Comic
Jason X,261,Aleta Howood,Comic
"Good Night, The",262,Adoree Feechan,Romantico
Nurse 3D,263,Chandal Biagioni,Comic
P.U.N.K.S,264,Baxie Bogeys,Educacion
Undercover Brother,265,Dorotea Wash,Fabula
Monte Walsh,266,Gottfried Dowdle,Ficcion
Dark Command,267,Dave Crockford,Comic
"Monster That Challenged the World, The",268,Larry Fishlee,Educacion
"Way We Were, The",269,Kaspar Buttle,Comedia
"Seventh Cross, The",270,Emmye Brosetti,Comic
La liga no es cosa de hombres,271,Walliw Nickerson,Fabula
Square Dance,272,Red Reiner,Educacion
Jurassic Park,273,Elmira Woodford,Comic
Why Man Creates,274,Charmine Spellessy,Fabula
"Twilight Saga: New Moon, The",275,Annora Petel,Comic
Peggy Sue Got Married,276,Fifi Whittock,Comic
"Absent-Minded Professor, The",277,Bunni Lewinton,Cuento
Platform (Zhantai),278,Dore Pfleger,Comic
Q & A,279,Nannette Sawney,Ilustrado
The Sword and the Rose,280,Ransell Shorthouse,Educacion
In Dreams,281,Donall Marquand,Comic
Persona non grata,282,Kora Leahey,Comic
Little Lord Fauntleroy,283,Lorain Scotchbrook,Comic
"Children of Noisy Village, The (a.k.a Children of Bullerby Village, The) (Alla vi barn i Bullerbyn)",284,Amalita Worpole,Comic
"Emperor's New Groove 2: Kronk's New Groove, The",285,Grier Cathee,Educacion
Who Wants to Kill Jessie? (Kdo chce zabít Jessii?),286,Fayth Linskey,Comic
Back Stage,287,Gifford Eilhertsen,Comic
Gamer,288,Janot Cholwell,Comic
Topaz,289,Kerk Colbourn,Comic
Big Brown Eyes,290,Pryce Tumioto,Fabula
Happily Ever After (Ils se marièrent et eurent beaucoup d'enfants),291,Allen Disdel,Fabula
Lassie,292,Gabriello Sharkey,Fabula
"Tale of the Wind, A (Histoire de vent, Une)",293,Frans Maass,Comic
Hunger,294,Lilyan Perche,Comic
"Gambler, The (Játékos, A)",295,Estele Routley,Comedia
Gulliver's Travels,296,Gretal Lawn,Educacion
Two Hands,297,Mikael Van Velden,Fabula
"Girls Can't Swim (Filles ne savent pas nager, Les)",298,Deb Carmel,Fabula
When the Cat's Away (Chacun cherche son chat),299,Fredrika Abbie,Comic
"Full Monty, The",300,Bartlet Mapp,Comic
Marie-Jo and Her 2 Lovers (Marie-Jo et ses 2 amours),301,Ingaberg Fishenden,Comic
Tokyo Olympiad,302,Cory Pimm,Fabula
McCullin,303,Pepi Daniau,Comic
The Story of Asya Klyachina,304,Gaspar Scoines,Comic
Young Doctors in Love,305,Joeann Daniells,Fabula
High and Dry,306,Devlin Gibbett,Educacion
"Shot at Glory, A",307,Graehme Avon,Comic
A Phantasy,308,Mart Gilcrist,Comic
Halloweentown High,309,Bianka Sarsons,Comic
"Cost of Living, The (Le coût de la vie)",310,Cobbie Arunowicz,Comic
"Quickie, The",311,Perrine Bibb,Comic
Caramel (Sukkar banat),312,Nikoletta Spanswick,Romantico
"Nightmare Castle (Amanti d'oltretomba) (Lovers from Beyond the Tomb) (Faceless Monster, The)",313,Virginia Spowage,Comic
Dancing in the Rain (Ples v dezju),314,Roley Jelleman,Ilustrado
Hipsters (Stilyagi),315,Rica Halsworth,Educacion
Patton Oswalt: My Weakness Is Strong,316,Ezri Thynne,Educacion
Little Boy Blue,317,Gardner MacCurley,Comic
Poor White Trash,318,Blinnie Osgardby,Comic
"Iron Giant, The",319,Bibby MacCome,Comic
Backfire,320,Kinsley Euels,Comic
See No Evil,321,Agace Lippard,Fabula
Picnic at Hanging Rock,322,Aurie Herrero,Comic
Hellraiser: Hellworld,323,Maureene Bloodworthe,Comedia
"Lady Takes a Chance, A",324,Desirae Sertin,Comic
1990: The Bronx Warriors (1990: I guerrieri del Bronx),325,Elinor Landon,Educacion
"Misérables, Les",326,Fabe Van der Hoven,Comic
"Storm in Summer, A",327,Dita Jaggs,Comic
OKA!,328,Angie Murt,Comic
Beyond a Reasonable Doubt,329,Brittan MacAskie,Educacion
Queen of the Damned,330,Joni Derham,Comic
Sesame Street Presents Follow That Bird,331,Mercy Baglow,Comic
Stacy,332,Gilberte Macias,Comic
Time in the Minors,333,Jeniffer Perot,Comic
"Impossible, The (Imposible, Lo)",334,Cecile Howle,Comic
Eat,335,Leopold Hellmer,Educacion
"Mask of Dimitrios, The",336,Kelly Finlater,Comic
Suburban Gothic,337,Madalena Spurway,Educacion
Dylan Dog: Dead of Night,338,Malissa Allcoat,Educacion
The Lost Prince,339,Ax Tresvina,Educacion
"Me Too (Yo, también)",340,Cyril Qualtro,Comic
"Bank Job, The",341,Lenci Russam,Comic
"Bourne Identity, The",342,Minna Frankcom,Educacion
Home,343,Aurlie Tender,Educacion
"Gospel, The",344,Burg Govenlock,Comic
Don't Look Now: We're Being Shot At (La grande vadrouille),345,Clarie Heighton,Educacion
Country Strong,346,Gerhard Pawlata,Comic
Big Bad Wolf,347,Nolan Wyleman,Comic
Blame It on Rio,348,Maryanne Sheal,Comic
They Gave Him A Gun,349,Terri Birtwistle,Romantico
"Shanghai Gesture, The",350,Vanna Gashion,Comic
"Suddenly, Last Summer",351,Nerty Moscrop,Cuento
Meltdown (Shu dan long wei),352,Lek Chapelle,Comic
All is Bright,353,Chaim Monte,Ficcion
"Elephant Man, The",354,Ros Heakins,Comic
"Whole Ten Yards, The",355,Essa Garbutt,Fabula
This Man Must Die (Que la bête meure),356,Mimi Syers,Educacion
Brigham City,357,Marjy Churches,Comic
"Texas Chainsaw Massacre 2, The",358,Trudie Deviney,Comedia
Emmet Otter's Jug-Band Christmas,359,Terrye Burkin,Educacion
Soldier of Fortune,360,Elnore Van Driel,Comic
"Grandpa for Christmas, A (Bert & Becca)",361,Sallyanne Ryland,Educacion
Fear Strikes Out,362,Donovan Newing,Educacion
Detachment,363,Nannette Kempston,Fabula
My Kingdom,364,Alberto Gryglewski,Educacion
Now You Know,365,Auberon Duffield,Comic
Untamed Youth,366,Alain Abels,Comedia
Thirteen,367,Veronike Bettison,Educacion
Bukowski: Born into This,368,Giraldo Gatheridge,Comic
"Intern, The",369,Shell Foxall,Comic
"I Inside, The",370,Micheal Nottingham,Comic
First Strike,371,Eal Scaplehorn,Cuento
Bonneville,372,Mathias Husby,Comedia
"Man Escaped, A (Un  condamné à mort s'est échappé ou Le vent souffle où il veut)",373,Mable Trunby,Comic
1981,374,Cullan Hartigan,Fabula
"In-Laws, The",375,Lilian Lorne,Fabula
"Wayward Cloud, The (Tian bian yi duo yun)",376,Stefa Wellfare,Comic
"Whisperers, The",377,Rutledge Easun,Educacion
Don't Look Now: We're Being Shot At (La grande vadrouille),378,Eugenia Andres,Comic
Sliver,379,Arliene Hordle,Educacion
"Mirror, The (Ayneh)",380,Vida Cornu,Comic
"Muriel, or The Time of Return (Muriel ou Le temps d'un retour)",381,Tuesday McLevie,Comic
Few of Us,382,Lucie O'Lehane,Fabula
Nausicaä of the Valley of the Wind (Kaze no tani no Naushika),383,Poul Cicccitti,Comedia
Copying Beethoven,384,Byrann Hedlestone,Educacion
Tumannost Andromedy,385,Kittie Othick,Comic
Sweetwater,386,Merv Reoch,Ficcion
"Greatest Movie Ever Sold, The (POM Wonderful Presents: The Greatest Movie Ever Sold)",387,Averyl Gravatt,Romantico
Manon of the Spring (Manon des sources),388,Gayel Elmhirst,Comic
"Woman in Black, The",389,Barty Clemenzo,Comic
M*A*S*H (a.k.a. MASH),390,Bliss De-Ville,Comedia
Slim Susie (Smala Sussie),391,Philbert Ramstead,Educacion
Straw Dogs,392,Jermain Schoenfisch,Fabula
101 Dalmatians II: Patch's London Adventure,393,Tabina Wallworke,Educacion
Taxi 2,394,Jandy Suffe,Educacion
Maryam,395,Brenda Vezey,Comic
"Ugly Dachshund, The",396,Simeon Boldison,Comic
The Fighting 69th,397,Milka MacMenamin,Comic
I Am Not a Hipster,398,Amargo Goathrop,Comic
"Son of No One, The",399,Onfre Ruit,Comic
THX 1138,400,Vin Janauschek,Comic
"Tinker, Tailor, Soldier, Spy",401,Philippe Sheards,Comic
Since You Went Away,402,Arv Eykelbosch,Comic
Almost Married,403,Perkin Subhan,Comic
Voices,404,Boone Abrami,Educacion
Stolen (Stolen Lives),405,Normy Markovic,Fabula
"Night Listener, The",406,Matilda Conre,Educacion
L.A. Zombie,407,Shellie Lamdin,Comic
Marina Abramovic: The Artist Is Present,408,Dame Aizikovitch,Comedia
Gloomy Sunday (Ein Lied von Liebe und Tod),409,Rey Di Pietro,Comic
"Jungle Book, The",410,Stephan Charlson,Educacion
Terror is a Man,411,Hakim Petrik,Educacion
Othello,412,Cornelia McEwen,Comic
Simple Men,413,Fabio Haslum,Comic
Murder in Coweta County,414,Arvy Gonzales,Comic
Man with the Screaming Brain,415,Townsend Delicate,Comic
"Ice Storm, The",416,Trina Cuckson,Fabula
French Connection II,417,Bonny Gilbert,Comic
"Tall T, The",418,Devora Gerasch,Educacion
Adopted,419,Windy Pretsel,Educacion
We Are Marshall,420,Merridie Giurio,Fabula
Pawn Shop Chronicles,421,Codee Paute,Educacion
Aspen,422,Marcellus Swatridge,Comic
Another Happy Day,423,Ford Wafer,Educacion
My Tutor,424,Luce Shortall,Comic
Entertaining Angels: The Dorothy Day Story,425,Borg Ortega,Comic
God told Me To,426,Emilia Rudolfer,Comic
Beneath,427,Leupold Petow,Comic
American: The Bill Hicks Story,428,Jozef Dunsmore,Educacion
"Land, The (Al-ard)",429,Justen Bunnell,Educacion
Raffles,430,Darline McCurtain,Educacion
Talhotblond:,431,Erin Pirelli,Educacion
"Seducing Doctor Lewis (Grande séduction, La)",432,Oberon Ellershaw,Ficcion
Pecker,433,Hal Besantie,Educacion
Fullmetal Alchemist: The Sacred Star of Milos,434,Stephi Sayse,Educacion
Mr. Average,435,Audra Lagden,Comic
"Last Rites of Joe May, The",436,Fanchette Osgodby,Comic
Pledge This!,437,Perceval Conneely,Fabula
Ivanhoe,438,Melisande Outlaw,Comic
Eva (a.k.a. Eve),439,Madelina Wickman,Comic
Across the Hall,440,Horatius Redholes,Comic
Half a Loaf of Kung Fu (Dian zhi gong fu gan chian chan),441,Dodi Squibbes,Comic
Non-Stop,442,Cecil Culley,Ficcion
Bride Flight,443,Smitty Hanmer,Educacion
Just Friends,444,June Cartledge,Ilustrado
Fog Over Frisco,445,Amitie Chaston,Comic
"Django the Bastard (Strangers Gundown, The) (Django il bastardo)",446,Francklin Ortiga,Comic
Shotgun Stories,447,Jereme Adshad,Comedia
"Gentlemen Don't Eat Poets (Grotesque, The)",448,Joshuah Stanyan,Fabula
American Raspberry (Prime Time) (Funny America),449,Rolfe Cotty,Educacion
"Grace Lee Project, The",450,Brock Sturton,Educacion
Movie 43,451,Winnah Jagson,Romantico
"Longest Yard, The",452,Addison Balasin,Educacion
Hoodwinked Too! Hood vs. Evil,453,Flem Moxstead,Fabula
"Tall Target, The",454,Denys Gossart,Educacion
Fuel,455,Ashli Topping,Educacion
Vanya on 42nd Street,456,Nico Brounfield,Educacion
Freeze Frame,457,Rafa Beckmann,Comic
Attack of the Puppet People,458,Nollie Sidebottom,Comic
Osama,459,Geordie Hegarty,Educacion
"Four Days in September (O Que É Isso, Companheiro?)",460,Felix Larkins,Educacion
Annabel Takes a Tour (Annabel Takes a Trip),461,Pam Tubbs,Comedia
Peter's Friends,462,Dixie Hawkwood,Educacion
Dead Like Me: Life After Death,463,Connor Maddicks,Educacion
All the Fine Young Cannibals,464,Stacey Cleere,Ilustrado
Crawlspace,465,Madlin Meconi,Educacion
Alpha and Omega 3: The Great Wolf Games,466,Gerard Halm,Educacion
"Sugar Curtain, The (El telón de azúcar)",467,Debora Argyle,Comic
And When Did You Last See Your Father?,468,Ermanno Husbands,Comic
"Last Mistress, The (vieille maîtresse, Une)",469,Monah Marran,Comic
"Club, The",470,Granger Mee,Comic
Bag It,471,Christie Keohane,Educacion
"Snitch Cartel, The (El cartel de los sapos)",472,Sumner Crock,Comedia
"Ice Harvest, The",473,Hubert Guillotin,Fabula
"Good Morning, Night (Buongiorno, notte)",474,Chrisse McKellar,Fabula
Lights Out,475,Blair Capstake,Comic
Buffalo Girls,476,Courtenay Maddox,Fabula
The great match,477,Whit Lamba,Fabula
Rubber Johnny,478,Bertrando Whitter,Comic
"Injury to One, An",479,Elisha Casbourne,Ficcion
Last Summer in the Hamptons,480,Ardra Paulon,Fabula
My Demon Lover,481,Grange Killock,Comic
A.C.O.D.,482,Hortense Belson,Comic
Open Season,483,Hyacinthie Stichall,Educacion
Highlander II: The Quickening,484,Rutger Lockhurst,Comic
Justice League: The New Frontier ,485,Candis Mitchinson,Educacion
Halloween III: Season of the Witch,486,Geri McAlinden,Comic
Good Will Hunting,487,Osbourn Mawdsley,Comic
Nanking,488,Ario Wellington,Comic
"Hideous Sun Demon, The",489,Brittni Annice,Comedia
For Ellen,490,Hettie Hollebon,Educacion
K-PAX,491,Dorey Goward,Comic
For a Woman (Pour une femme),492,Doralyn Sabathe,Educacion
Nora,493,Gracie Ayerst,Comedia
"Situation, The",494,Reade Giamo,Educacion
This Island Earth,495,Ralf Springthorp,Fabula
Lucky Break (a.k.a. Paperback Romance),496,Steffie Ravenshaw,Comic
Conviction,497,Dorey Simmonite,Comic
Forced to Kill,498,Ophelie Mellmer,Educacion
"Queen of Spades, The",499,Haywood Grovier,Fabula
Husk,500,Filippo Shelton,Fabula
Short Term 12,501,Pembroke Caghan,Comic
Love Object,502,Ingar Engelbrecht,Comic
"Lives of Others, The (Das leben der Anderen)",503,Karrie Light,Comic
Fresh Guacamole,504,Gabbey Greaterex,Comic
Joe Versus the Volcano,505,Siusan McReidy,Educacion
Pete Kelly's Blues,506,Lazare Search,Comic
